Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5% On Purchase,Cost Of Goods,Total Cost,Date Of Purchase,Time Of Purchase,Payment,Gross Margin %,Gross Income,Rating
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,8.34,166.8,175.14,3/3/2019,19:17:00,Cash,4.761904762,8.34,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,15.867,317.34,333.207,1/19/2019,17:34:00,Credit card,4.761904762,15.867,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,7.916,158.32,166.236,1/18/2019,12:04:00,Ewallet,4.761904762,7.916,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,15.228,304.56,319.788,3/21/2019,16:21:00,Ewallet,4.761904762,15.228,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,177.36,186.228,3/3/2019,17:01:00,Credit card,4.761904762,8.868,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,157.57,165.4485,2/13/2019,10:50:00,Credit card,4.761904762,7.8785,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,22.164,443.28,465.444,3/23/2019,19:16:00,Ewallet,4.761904762,22.164,4.4
342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,260.4,273.42,1/28/2019,16:47:00,Ewallet,4.761904762,13.02,9.9
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,449.82,472.311,2/9/2019,10:00:00,Cash,4.761904762,22.491,5.7
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,307.76,323.148,1/23/2019,11:51:00,Cash,4.761904762,15.388,7.7
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,155,162.75,3/23/2019,10:55:00,Ewallet,4.761904762,7.75,8
824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,274.48,288.204,1/25/2019,15:00:00,Ewallet,4.761904762,13.724,5.7
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,86.38,90.699,3/4/2019,11:19:00,Credit card,4.761904762,4.319,6.7
895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,54.24,56.952,3/5/2019,19:46:00,Ewallet,4.761904762,2.712,8
305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,755.92,793.716,3/3/2019,19:00:00,Ewallet,4.761904762,37.796,7.5
732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,185.88,195.174,2/8/2019,10:53:00,Cash,4.761904762,9.294,7
400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,74.07,77.7735,2/10/2019,12:50:00,Ewallet,4.761904762,3.7035,9.9
593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,279.24,293.202,1/28/2019,20:50:00,Credit card,4.761904762,13.962,5.9
284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,231.12,242.676,2/11/2019,10:39:00,Credit card,4.761904762,11.556,7.2
437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,147.04,154.392,1/15/2019,13:41:00,Ewallet,4.761904762,7.352,4.6
286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,790.2,829.71,3/16/2019,19:08:00,Cash,4.761904762,39.51,9.2
641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,102.2,107.31,1/26/2019,20:23:00,Ewallet,4.761904762,5.11,5.7
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,163.55,171.7275,3/19/2019,11:30:00,Credit card,4.761904762,8.1775,9.9
556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,74.29,78.0045,1/13/2019,19:30:00,Cash,4.761904762,3.7145,5
848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,87.4,91.77,3/26/2019,18:03:00,Cash,4.761904762,4.37,4.9
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,25.29,26.5545,3/23/2019,10:13:00,Ewallet,4.761904762,1.2645,6.1
699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,8.3,166,174.3,3/12/2019,19:58:00,Credit card,4.761904762,8.3,8.2
420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,17.8475,356.95,374.7975,2/17/2019,19:57:00,Credit card,4.761904762,17.8475,5.5
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,114.9,120.645,1/29/2019,10:01:00,Credit card,4.761904762,5.745,6.8
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,11.498,229.96,241.458,3/15/2019,11:57:00,Cash,4.761904762,11.498,6.6
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,429.87,451.3635,1/14/2019,10:02:00,Cash,4.761904762,21.4935,9.8
875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,12.95,259,271.95,2/6/2019,14:51:00,Ewallet,4.761904762,12.95,8.7
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,4.4425,88.85,93.2925,2/15/2019,12:42:00,Credit card,4.761904762,4.4425,5.4
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,207.27,217.6335,1/3/2019,12:02:00,Ewallet,4.761904762,10.3635,7.9
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,599.85,629.8425,1/4/2019,18:19:00,Credit card,4.761904762,29.9925,9.7
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,14.265,285.3,299.565,3/18/2019,17:38:00,Ewallet,4.761904762,14.265,7.8
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,4.5555,91.11,95.6655,3/28/2019,13:41:00,Ewallet,4.761904762,4.5555,5.1
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,897.57,942.4485,3/2/2019,19:42:00,Credit card,4.761904762,44.8785,6.5
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8035,236.07,247.8735,1/25/2019,20:24:00,Ewallet,4.761904762,11.8035,5.9
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,839.34,881.307,1/16/2019,18:08:00,Cash,4.761904762,41.967,8.8
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,23.09,461.8,484.89,3/20/2019,19:17:00,Ewallet,4.761904762,23.09,4.9
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,139.26,146.223,1/4/2019,13:24:00,Credit card,4.761904762,6.963,4.4
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,10.3635,207.27,217.6335,3/11/2019,15:53:00,Cash,4.761904762,10.3635,6.5
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.914,18.28,19.194,3/22/2019,15:05:00,Credit card,4.761904762,0.914,8.3
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,6.1925,123.85,130.0425,3/24/2019,18:27:00,Cash,4.761904762,6.1925,8.5
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,14.196,283.92,298.116,2/21/2019,16:55:00,Cash,4.761904762,14.196,5.5
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,37.948,758.96,796.908,2/12/2019,12:58:00,Ewallet,4.761904762,37.948,8.7
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3,8.601,172.02,180.621,3/10/2019,18:59:00,Credit card,4.761904762,8.601,7.9
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13.605,272.1,285.705,1/31/2019,13:44:00,Ewallet,4.761904762,13.605,6.1
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,21.728,434.56,456.288,3/6/2019,13:46:00,Ewallet,4.761904762,21.728,5.4
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,2.9525,59.05,62.0025,2/17/2019,18:06:00,Cash,4.761904762,2.9525,9.4
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,0.627,12.54,13.167,2/21/2019,12:38:00,Cash,4.761904762,0.627,8.2
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,86.5,90.825,3/20/2019,15:56:00,Cash,4.761904762,4.325,6.2
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716,174.32,183.036,1/11/2019,14:29:00,Credit card,4.761904762,8.716,9.7
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,31.2165,624.33,655.5465,1/26/2019,19:14:00,Ewallet,4.761904762,31.2165,4
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,7.412,148.24,155.652,1/31/2019,16:24:00,Ewallet,4.761904762,7.412,9.7
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7,6,27.21,544.2,571.41,2/26/2019,10:52:00,Cash,4.761904762,27.21,5.3
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.368,507.36,532.728,3/11/2019,12:55:00,Ewallet,4.761904762,25.368,7.4
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,8.137,162.74,170.877,1/26/2019,19:28:00,Cash,4.761904762,8.137,6.5
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,1.5885,31.77,33.3585,3/12/2019,13:52:00,Credit card,4.761904762,1.5885,8.7
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9,37.8405,756.81,794.6505,2/11/2019,10:54:00,Cash,4.761904762,37.8405,8
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4,14.764,295.28,310.044,2/21/2019,18:31:00,Cash,4.761904762,14.764,6.7
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,519.4,545.37,3/9/2019,18:24:00,Ewallet,4.761904762,25.97,6.5
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,9.314,186.28,195.594,1/20/2019,18:09:00,Ewallet,4.761904762,9.314,4.1
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,4.3525,87.05,91.4025,1/28/2019,15:16:00,Credit card,4.761904762,4.3525,4.9
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,11.055,221.1,232.155,3/5/2019,17:07:00,Credit card,4.761904762,11.055,8.6
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,3.305,66.1,69.405,3/2/2019,19:26:00,Cash,4.761904762,3.305,4.3
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,89.69,94.1745,1/11/2019,11:20:00,Ewallet,4.761904762,4.4845,4.9
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.223,224.46,235.683,1/11/2019,16:49:00,Credit card,4.761904762,11.223,5.6
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,5.977,119.54,125.517,3/11/2019,12:01:00,Credit card,4.761904762,5.977,5.8
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,9.32,186.4,195.72,2/28/2019,18:37:00,Credit card,4.761904762,9.32,6
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,250.6,263.13,1/5/2019,11:25:00,Cash,4.761904762,12.53,4.2
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,750.96,788.508,2/2/2019,18:42:00,Credit card,4.761904762,37.548,8.3
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,380.72,399.756,1/1/2019,14:47:00,Cash,4.761904762,19.036,5.7
866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.4,3,12.21,244.2,256.41,2/9/2019,19:43:00,Cash,4.761904762,12.21,4.8
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,4.485,89.7,94.185,1/23/2019,14:04:00,Ewallet,4.761904762,4.485,6.8
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,310.88,326.424,1/7/2019,16:11:00,Credit card,4.761904762,15.544,8.8
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.571,511.42,536.991,1/14/2019,19:06:00,Credit card,4.761904762,25.571,4.2
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,20.9475,418.95,439.8975,2/2/2019,15:34:00,Ewallet,4.761904762,20.9475,6.4
662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories,35.19,10,17.595,351.9,369.495,3/17/2019,19:06:00,Credit card,4.761904762,17.595,8.4
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.439,28.78,30.219,3/2/2019,19:44:00,Credit card,4.761904762,1.439,7.2
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,95,99.75,3/16/2019,11:22:00,Cash,4.761904762,4.75,5.2
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,471.2,494.76,1/6/2019,11:23:00,Cash,4.761904762,23.56,8.9
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.524,130.48,137.004,1/29/2019,14:12:00,Cash,4.761904762,6.524,9
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.3175,66.35,69.6675,1/31/2019,10:46:00,Credit card,4.761904762,3.3175,9.7
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.773,155.46,163.233,2/5/2019,10:16:00,Ewallet,4.761904762,7.773,8.7
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,129,135.45,2/13/2019,12:38:00,Ewallet,4.761904762,6.45,6.5
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,13.188,263.76,276.948,2/7/2019,13:05:00,Credit card,4.761904762,13.188,6.9
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.777,675.54,709.317,3/19/2019,13:25:00,Ewallet,4.761904762,33.777,6.2
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,3.29,65.8,69.09,3/7/2019,14:53:00,Ewallet,4.761904762,3.29,5.6
655-85-5130,B,Mandalay,Member,Female,Fashion accessories,38.3,4,7.66,153.2,160.86,3/13/2019,19:22:00,Cash,4.761904762,7.66,5.7
447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,222.4,233.52,2/9/2019,11:00:00,Cash,4.761904762,11.12,4.2
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1,2.7225,54.45,57.1725,2/26/2019,19:24:00,Ewallet,4.761904762,2.7225,7.9
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,688.8,723.24,3/12/2019,12:43:00,Credit card,4.761904762,34.44,8.7
808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,7.094,141.88,148.974,3/14/2019,17:22:00,Credit card,4.761904762,7.094,6.9
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,746,783.3,1/8/2019,20:55:00,Cash,4.761904762,37.3,9.5
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,282.96,297.108,1/5/2019,16:05:00,Credit card,4.761904762,14.148,4.4
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,355.4,373.17,1/4/2019,13:34:00,Ewallet,4.761904762,17.77,7
783-09-1637,B,Mandalay,Normal,Female,Sports and travel,67.43,5,16.8575,337.15,354.0075,3/6/2019,18:13:00,Ewallet,4.761904762,16.8575,6.3
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,42.24,44.352,1/3/2019,19:17:00,Cash,4.761904762,2.112,9.7
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,193.86,203.553,1/7/2019,11:44:00,Credit card,4.761904762,9.693,8.8
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.203,24.06,25.263,1/27/2019,15:51:00,Cash,4.761904762,1.203,5.1
477-24-6490,B,Mandalay,Normal,Female,Health and beauty,99.71,6,29.913,598.26,628.173,2/26/2019,16:52:00,Ewallet,4.761904762,29.913,7.9
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,335.79,352.5795,1/7/2019,20:52:00,Cash,4.761904762,16.7895,6.2
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,218.2,229.11,1/7/2019,17:36:00,Cash,4.761904762,10.91,7.1
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.084,381.68,400.764,2/2/2019,13:23:00,Ewallet,4.761904762,19.084,6.4
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories,70.99,10,35.495,709.9,745.395,3/20/2019,16:28:00,Cash,4.761904762,35.495,5.7
828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,440.2,462.21,3/20/2019,19:57:00,Credit card,4.761904762,22.01,9.6
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,559.68,587.664,2/15/2019,17:01:00,Credit card,4.761904762,27.984,6.4
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37,1,1.85,37,38.85,3/6/2019,13:29:00,Credit card,4.761904762,1.85,7.9
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,15.34,16.107,1/6/2019,11:09:00,Cash,4.761904762,0.767,6.5
667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6,29.949,598.98,628.929,3/4/2019,15:02:00,Ewallet,4.761904762,29.949,8.5
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,9.534,190.68,200.214,3/12/2019,14:21:00,Cash,4.761904762,9.534,9.1
498-41-1961,B,Mandalay,Normal,Male,Health and beauty,66.68,5,16.67,333.4,350.07,2/20/2019,18:01:00,Cash,4.761904762,16.67,7.6
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,3.743,74.86,78.603,3/24/2019,14:49:00,Cash,4.761904762,3.743,6.9
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.6875,213.75,224.4375,1/31/2019,12:02:00,Cash,4.761904762,10.6875,9.5
283-79-9594,B,Mandalay,Normal,Female,Food and beverages,48.51,7,16.9785,339.57,356.5485,1/25/2019,13:30:00,Credit card,4.761904762,16.9785,5.2
430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,664.16,697.368,2/3/2019,14:38:00,Cash,4.761904762,33.208,4.2
139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.3,10,20.15,403,423.15,1/24/2019,17:37:00,Credit card,4.761904762,20.15,7
558-80-4082,C,Naypyitaw,Normal,Male,Electronic accessories,27.85,7,9.7475,194.95,204.6975,3/14/2019,17:20:00,Ewallet,4.761904762,9.7475,6
278-97-7759,A,Yangon,Member,Female,Electronic accessories,62.48,1,3.124,62.48,65.604,2/18/2019,20:29:00,Cash,4.761904762,3.124,4.7
316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36,2,3.636,72.72,76.356,1/21/2019,10:00:00,Cash,4.761904762,3.636,7.1
585-03-5943,B,Mandalay,Normal,Male,Health and beauty,18.11,10,9.055,181.1,190.155,3/13/2019,11:46:00,Ewallet,4.761904762,9.055,5.9
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,259.6,272.58,3/3/2019,13:42:00,Cash,4.761904762,12.98,7.5
727-75-6477,C,Naypyitaw,Normal,Male,Electronic accessories,28.84,4,5.768,115.36,121.128,3/29/2019,14:44:00,Cash,4.761904762,5.768,6.4
744-02-5987,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,470.28,493.794,1/10/2019,14:16:00,Ewallet,4.761904762,23.514,5.8
307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01,4,12.002,240.04,252.042,1/25/2019,15:54:00,Cash,4.761904762,12.002,4.5
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1,4.4305,88.61,93.0405,1/19/2019,10:21:00,Cash,4.761904762,4.4305,7.7
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,199.64,209.622,1/2/2019,18:09:00,Credit card,4.761904762,9.982,6.7
573-10-3877,B,Mandalay,Member,Male,Health and beauty,39.01,1,1.9505,39.01,40.9605,3/12/2019,16:46:00,Credit card,4.761904762,1.9505,4.7
735-06-4124,C,Naypyitaw,Normal,Male,Food and beverages,48.61,1,2.4305,48.61,51.0405,2/25/2019,15:31:00,Cash,4.761904762,2.4305,4.4
439-54-7422,A,Yangon,Normal,Female,Electronic accessories,51.19,4,10.238,204.76,214.998,3/18/2019,17:15:00,Credit card,4.761904762,10.238,4.7
396-90-2219,B,Mandalay,Normal,Female,Electronic accessories,14.96,8,5.984,119.68,125.664,2/23/2019,12:29:00,Cash,4.761904762,5.984,8.6
411-77-0180,A,Yangon,Member,Male,Electronic accessories,72.2,7,25.27,505.4,530.67,3/26/2019,20:14:00,Ewallet,4.761904762,25.27,4.3
286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7,14.0805,281.61,295.6905,3/30/2019,13:22:00,Cash,4.761904762,14.0805,9.6
803-17-8013,A,Yangon,Member,Female,Home and lifestyle,88.79,8,35.516,710.32,745.836,2/17/2019,17:09:00,Cash,4.761904762,35.516,4.1
512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48,3,3.972,79.44,83.412,3/21/2019,10:40:00,Ewallet,4.761904762,3.972,4.7
848-42-2560,A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.191,163.82,172.011,3/5/2019,17:43:00,Cash,4.761904762,8.191,7.8
532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93,6,23.979,479.58,503.559,1/31/2019,14:04:00,Cash,4.761904762,23.979,5.5
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,69.33,2,6.933,138.66,145.593,2/5/2019,19:05:00,Ewallet,4.761904762,6.933,9.7
870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,3.5575,71.15,74.7075,2/1/2019,10:08:00,Credit card,4.761904762,3.5575,4.4
423-64-4619,A,Yangon,Member,Female,Health and beauty,15.55,9,6.9975,139.95,146.9475,3/7/2019,13:12:00,Cash,4.761904762,6.9975,5
227-07-4446,C,Naypyitaw,Member,Female,Electronic accessories,78.13,10,39.065,781.3,820.365,2/10/2019,20:51:00,Cash,4.761904762,39.065,4.4
174-36-3675,C,Naypyitaw,Member,Male,Food and beverages,99.37,2,9.937,198.74,208.677,2/14/2019,17:29:00,Cash,4.761904762,9.937,5.2
428-83-5800,C,Naypyitaw,Member,Female,Food and beverages,21.08,3,3.162,63.24,66.402,2/9/2019,10:25:00,Cash,4.761904762,3.162,7.3
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,373.95,392.6475,1/10/2019,11:34:00,Cash,4.761904762,18.6975,4.9
704-20-4138,C,Naypyitaw,Member,Female,Health and beauty,29.67,7,10.3845,207.69,218.0745,3/11/2019,18:58:00,Credit card,4.761904762,10.3845,8.1
787-15-1757,C,Naypyitaw,Member,Male,Health and beauty,44.07,4,8.814,176.28,185.094,2/18/2019,16:28:00,Ewallet,4.761904762,8.814,8.4
649-11-3678,C,Naypyitaw,Normal,Female,Food and beverages,22.93,9,10.3185,206.37,216.6885,2/26/2019,20:26:00,Cash,4.761904762,10.3185,5.5
622-20-1945,C,Naypyitaw,Normal,Female,Health and beauty,39.42,1,1.971,39.42,41.391,1/18/2019,15:08:00,Cash,4.761904762,1.971,8.4
372-94-8041,A,Yangon,Normal,Male,Health and beauty,15.26,6,4.578,91.56,96.138,2/15/2019,18:03:00,Ewallet,4.761904762,4.578,9.8
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.4425,308.85,324.2925,3/8/2019,13:21:00,Cash,4.761904762,15.4425,6.7
746-54-5508,A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.456,129.12,135.576,1/17/2019,12:48:00,Credit card,4.761904762,6.456,9.4
276-54-0879,B,Mandalay,Normal,Male,Sports and travel,97.74,4,19.548,390.96,410.508,3/12/2019,19:53:00,Ewallet,4.761904762,19.548,6.4
815-11-1168,A,Yangon,Member,Male,Food and beverages,99.78,5,24.945,498.9,523.845,3/9/2019,19:09:00,Cash,4.761904762,24.945,5.4
719-76-3868,C,Naypyitaw,Member,Male,Food and beverages,94.26,4,18.852,377.04,395.892,3/12/2019,16:30:00,Cash,4.761904762,18.852,8.6
730-61-8757,B,Mandalay,Member,Male,Health and beauty,51.13,4,10.226,204.52,214.746,1/25/2019,10:11:00,Credit card,4.761904762,10.226,4
340-66-0321,A,Yangon,Member,Male,Electronic accessories,36.36,4,7.272,145.44,152.712,3/25/2019,13:07:00,Cash,4.761904762,7.272,7.6
868-81-1752,B,Mandalay,Normal,Male,Home and lifestyle,22.02,9,9.909,198.18,208.089,2/7/2019,18:48:00,Cash,4.761904762,9.909,6.8
634-97-8956,A,Yangon,Normal,Male,Food and beverages,32.9,3,4.935,98.7,103.635,2/17/2019,17:27:00,Credit card,4.761904762,4.935,9.1
566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.255,385.1,404.355,2/3/2019,15:59:00,Cash,4.761904762,19.255,5.5
442-48-3607,A,Yangon,Member,Male,Food and beverages,23.48,2,2.348,46.96,49.308,3/14/2019,11:21:00,Credit card,4.761904762,2.348,7.9
835-16-0096,C,Naypyitaw,Member,Male,Sports and travel,14.7,5,3.675,73.5,77.175,3/24/2019,13:48:00,Ewallet,4.761904762,3.675,8.5
527-09-6272,A,Yangon,Member,Female,Electronic accessories,28.45,5,7.1125,142.25,149.3625,3/21/2019,10:17:00,Credit card,4.761904762,7.1125,9.1
898-04-2717,A,Yangon,Normal,Male,Fashion accessories,76.4,9,34.38,687.6,721.98,3/19/2019,15:49:00,Ewallet,4.761904762,34.38,7.5
692-27-8933,B,Mandalay,Normal,Female,Sports and travel,57.95,6,17.385,347.7,365.085,2/24/2019,13:02:00,Cash,4.761904762,17.385,5.2
633-09-3463,C,Naypyitaw,Normal,Female,Electronic accessories,47.65,3,7.1475,142.95,150.0975,3/28/2019,12:58:00,Credit card,4.761904762,7.1475,9.5
374-17-3652,B,Mandalay,Member,Female,Food and beverages,42.82,9,19.269,385.38,404.649,2/5/2019,15:26:00,Credit card,4.761904762,19.269,8.9
378-07-7001,B,Mandalay,Member,Male,Electronic accessories,48.09,3,7.2135,144.27,151.4835,2/10/2019,18:23:00,Credit card,4.761904762,7.2135,7.8
433-75-6987,B,Mandalay,Member,Female,Health and beauty,55.97,7,19.5895,391.79,411.3795,3/5/2019,19:06:00,Ewallet,4.761904762,19.5895,8.9
873-95-4984,B,Mandalay,Member,Female,Health and beauty,76.9,7,26.915,538.3,565.215,2/15/2019,20:21:00,Cash,4.761904762,26.915,7.7
416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages,97.03,5,24.2575,485.15,509.4075,1/30/2019,16:24:00,Ewallet,4.761904762,24.2575,9.3
150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,133.95,140.6475,2/14/2019,15:04:00,Cash,4.761904762,6.6975,6.2
